#省份      运营商     日志上传   账号总数   在线数     来源       拨号服务器  
AH         LT         YES        199        72         IPFY       10.152.81.2 
AH         DX         YES        198        197        IPFY       10.152.81.3 
ZJ         LT         YES        198        95         IPFY       10.153.81.2 
ZJ         DX         YES        197        1          IPFY       10.153.81.3 
GX         LT         YES        198        73         IPFY       10.161.81.2 
GX         DX         YES        198        76         IPFY       10.161.81.3 
CQ         LT         YES        198        85         IPFY       10.137.81.2 
CQ         DX         YES        198        145        IPFY       10.137.81.3 
HUN        LT         YES        198        65         IPFY       10.158.81.2 
HUN        DX         YES        198        197        IPFY       10.158.81.3 
HUB        LT         YES        198        14         IPFY       10.155.81.2 
HUB        DX         YES        197        84         IPFY       10.155.81.3 
HEN        LT         YES        197        114        IPFY       10.151.81.2 
HEB        LT         YES        198        85         IPFY       10.141.81.2 
FJ         LT         YES        198        10         IPFY       10.162.81.2 
FJ         DX         YES        200        81         IPFY       10.162.81.3 
GZ         LT         YES        198        192        IPFY       10.157.81.2 
XJ         LT         YES        201        72         IPFY       10.149.81.2 
SB         LT         NO         197        NULL       IPFY       10.145.81.2 
SB         DX         YES        198        170        IPFY       10.145.81.3 
TJ         LT         YES        198        82         IPFY       10.148.81.2 
JX         DX         YES        210        85         IPFY       10.159.81.3 
JS         LT         YES        200        120        IPFY       10.150.81.2 
JS         DX         NO         201        NULL       IPFY       10.150.81.3 
HAIN       LT         YES        198        87         IPFY       10.160.81.2 
HAIN       DX         YES        210        209        IPFY       10.160.81.3 
GS         DX         YES        198        33         IPFY       10.142.81.3 
NMG        LT         YES        198        100        IPFY       10.135.81.2 
HLJ        LT         YES        198        197        IPFY       10.146.81.2 
GD         LT         YES        198        8          IPFY       10.164.81.2 
NX         DX         YES        198        85         IPFY       10.139.81.3 
SD         LT         YES        198        81         IPFY       10.154.81.2 
SX         LT         YES        198        184        IPFY       10.140.81.2 
JL         LT         YES        198        121        IPFY       10.147.81.2 
QH         LT         YES        198        54         IPFY       10.144.81.2 
BJ         LT         YES        188        132        IPFY       10.134.81.1 
YN         DX         YES        198        119        IPFY       10.156.81.3 
LN         LT         YES        198        75         IPFY       10.143.81.2 
SC         LT         NO         199        NULL       IPFY       10.138.81.2 
HEN        DX         YES        199        127        rog        10.170.151.1 
HEB        DX         YES        199        171        rog        10.170.141.1 
XJ         DX         YES        199        193        rog        10.170.149.1 
TJ         DX         YES        199        122        rog        10.170.148.1 
JX         LT         YES        198        171        rog        10.170.159.2 
GS         LT         YES        198        169        rog        10.170.142.2 
NMG        DX         YES        202        111        rog        10.170.135.1 
NX         LT         YES        198        192        rog        10.170.139.2 
SD         DX         YES        199        171        rog        10.170.154.1 
SX         DX         YES        198        120        rog        10.170.140.1 
JL         DX         NO         199        NULL       rog        10.170.147.1 
QH         DX         NO         199        NULL       rog        10.170.144.1 
BJ         DX         YES        201        164        rog        10.170.128.1 
YN         LT         NO         198        NULL       rog        10.170.156.2 
LN         DX         YES        199        184        rog        10.170.143.1 
SC         DX         YES        0          156        rog        10.170.138.1 
XZ         DX         YES        199        115        rog        10.170.136.1 
SH         LT         YES        200        122        rog        10.170.130.2 
